"","...1","id","Data.source.citation","Class","Order","Family","Genus","Species","Sub.species","Authority","Common.Name","Location.of.population","Country.list","Region","Are.coordinates.for.specific.location.","system","biome","realm","Native","Alien","Invasive","Units","Sampling.method","Data.transformed","year","pop"
"1",11775,12014,"Bocher, P., G. Quaintenne, et al. (2012). Distribution phenology and long term trends of Red Knots Calidris canutus in France. Wader Study Group Bulletin 119(1): 17-25.","Aves","Charadriiformes","Scolopacidae","Calidris","canutus",NA,"(Linnaeus, 1758)","Knot / Red knot","Channel Coast","France","Europe",FALSE,"Freshwater","Temperate floodplain rivers and wetlands","Palearctic","Yes","No","No","Number of individuals","Winter counts","No",2010,15430
"2",11776,12018,"Bocher, P., G. Quaintenne, et al. (2012). Distribution phenology and long term trends of Red Knots Calidris canutus in France. Wader Study Group Bulletin 119(1): 17-25.","Aves","Charadriiformes","Scolopacidae","Calidris","canutus",NA,"(Linnaeus, 1758)","Knot / Red knot","Atlantic Coast","France","Europe",FALSE,"Freshwater","Temperate floodplain rivers and wetlands","Palearctic","Yes","No","No","Number of individuals","Winter counts","No",2010,27653
"3",11775,12014,"Bocher, P., G. Quaintenne, et al. (2012). Distribution phenology and long term trends of Red Knots Calidris canutus in France. Wader Study Group Bulletin 119(1): 17-25.","Aves","Charadriiformes","Scolopacidae","Calidris","canutus",NA,"(Linnaeus, 1758)","Knot / Red knot","Channel Coast","France","Europe",FALSE,"Freshwater","Temperate floodplain rivers and wetlands","Palearctic","Yes","No","No","Number of individuals","Winter counts","No",2009,12951
"4",11776,12018,"Bocher, P., G. Quaintenne, et al. (2012). Distribution phenology and long term trends of Red Knots Calidris canutus in France. Wader Study Group Bulletin 119(1): 17-25.","Aves","Charadriiformes","Scolopacidae","Calidris","canutus",NA,"(Linnaeus, 1758)","Knot / Red knot","Atlantic Coast","France","Europe",FALSE,"Freshwater","Temperate floodplain rivers and wetlands","Palearctic","Yes","No","No","Number of individuals","Winter counts","No",2009,23246
"5",11775,12014,"Bocher, P., G. Quaintenne, et al. (2012). Distribution phenology and long term trends of Red Knots Calidris canutus in France. Wader Study Group Bulletin 119(1): 17-25.","Aves","Charadriiformes","Scolopacidae","Calidris","canutus",NA,"(Linnaeus, 1758)","Knot / Red knot","Channel Coast","France","Europe",FALSE,"Freshwater","Temperate floodplain rivers and wetlands","Palearctic","Yes","No","No","Number of individuals","Winter counts","No",2008,14036
"6",11776,12018,"Bocher, P., G. Quaintenne, et al. (2012). Distribution phenology and long term trends of Red Knots Calidris canutus in France. Wader Study Group Bulletin 119(1): 17-25.","Aves","Charadriiformes","Scolopacidae","Calidris","canutus",NA,"(Linnaeus, 1758)","Knot / Red knot","Atlantic Coast","France","Europe",FALSE,"Freshwater","Temperate floodplain rivers and wetlands","Palearctic","Yes","No","No","Number of individuals","Winter counts","No",2008,26450
"7",11775,12014,"Bocher, P., G. Quaintenne, et al. (2012). Distribution phenology and long term trends of Red Knots Calidris canutus in France. Wader Study Group Bulletin 119(1): 17-25.","Aves","Charadriiformes","Scolopacidae","Calidris","canutus",NA,"(Linnaeus, 1758)","Knot / Red knot","Channel Coast","France","Europe",FALSE,"Freshwater","Temperate floodplain rivers and wetlands","Palearctic","Yes","No","No","Number of individuals","Winter counts","No",2007,15918
"8",11776,12018,"Bocher, P., G. Quaintenne, et al. (2012). Distribution phenology and long term trends of Red Knots Calidris canutus in France. Wader Study Group Bulletin 119(1): 17-25.","Aves","Charadriiformes","Scolopacidae","Calidris","canutus",NA,"(Linnaeus, 1758)","Knot / Red knot","Atlantic Coast","France","Europe",FALSE,"Freshwater","Temperate floodplain rivers and wetlands","Palearctic","Yes","No","No","Number of individuals","Winter counts","No",2007,22212
"9",11775,12014,"Bocher, P., G. Quaintenne, et al. (2012). Distribution phenology and long term trends of Red Knots Calidris canutus in France. Wader Study Group Bulletin 119(1): 17-25.","Aves","Charadriiformes","Scolopacidae","Calidris","canutus",NA,"(Linnaeus, 1758)","Knot / Red knot","Channel Coast","France","Europe",FALSE,"Freshwater","Temperate floodplain rivers and wetlands","Palearctic","Yes","No","No","Number of individuals","Winter counts","No",2006,12979
"10",11776,12018,"Bocher, P., G. Quaintenne, et al. (2012). Distribution phenology and long term trends of Red Knots Calidris canutus in France. Wader Study Group Bulletin 119(1): 17-25.","Aves","Charadriiformes","Scolopacidae","Calidris","canutus",NA,"(Linnaeus, 1758)","Knot / Red knot","Atlantic Coast","France","Europe",FALSE,"Freshwater","Temperate floodplain rivers and wetlands","Palearctic","Yes","No","No","Number of individuals","Winter counts","No",2006,32266
